player,position,number,team,projected_points
Johnathan Taylor,RB,28,Colts,256.87
Cooper Kupp,WR,10,Rams,285.25
Josh Allen,QB,17,Bills,349.91
Christian Mccafrey ,RB,22,Panthers,234.29
Lamar Jackson,QB,8,Ravens,331.73
Jamaar Chase,WR,1,Bengals,187.37
Austin Eckler,RB,30,Chargers,229.82
Joe MIxon,RB,28,Bengals,218.32
Alvin Kamara,RB,41,Saints,209.73
Joe Burrow,QB,9,Bengals,284.92
Najee Harris,RB,22,Steelers,200.86
Travis Kelce,TE,87,Chiefs,184.92
Tyreke Hill,WR,10,Dolphins,213.43
Jalen Hurts,QB,1,Eagles,310.88
Ezekel Elliot,RB,21,Cowboys,165.82
Nick Chubb,RB,24,Browns,196.87
Kyler Murray,QB,1,Cardinals,314.26
Cee Dee Lamb,WR,88,Cowboys,188.01
Jalen Waddle,WR,17,Dolphins,182.09
Mark Andrews ,TE,89,Ravens,166.27
Davante Adams,WR ,17,Raiders,200.11
Aaron Jones,RB,33,Packers,191.07
Derrick Henry,RB,22,Titans,208.51
Dalvin Cook,RB,4,Vikings,211.77
Kyle Pitts,TE,8,Falcons,120.68
Drake London,WR,5,Falcons,149.66
Coradelle Patterson,RB,84,Falcons,178.16
DK Metcalf,WR,14,Seahawks,135.75
Amon-Ra St. Brown,WR,14,Lions,174.82
Deandre Swift,RB,32,Lions,213.02
George Kittle,TE,85,49ers,125.36
Justin Jefferson,WR,18,Vikings,219.08
Saquon Barkley,RB,26,Giants,196.64
Deebo Samuel,WR,19,49ers,189.79
AJ Brown,WR,11,Eagles,170.84
Javonte Williams,RB,33,Broncos,181.64
Courtland Sutton,WR ,14,Broncos,164.57
David Montgomery,RB,32,Bears,172.21
Breece Hall,RB,20,Jets,129.11
Darren Waller,TE,83,Raiders,135.57
Dameon Pierce ,RB,31,Texans,143.3
Steffon Diggs,WR,14,Bills,221.75
Mike Evans,WR,13,Buccanears,190.2
Keenan Allen,WR,13,Chargers,157.49
James Robinson,RB,28,Jaguars,164.8
Trevor Lawrence,QB,25,Jaguars,239.2
Travis Etienne Jr,RB,1,Jaguars,130.69
Terry McLaurin,WR,17,Commanders,141.72
Elijah Mitchell,RB,25,49ers,170.89
Justin Herbert,QB,10,Chargers,309.71
Leonard Fournette,RB,7,Buccanears,203.43
DJ Moore,WR,2,Panthers,123.38
Tee Higgins,WR,85,Bengals,175.61
Jerry Jeudy,WR,10,Broncos,156.96
Mike Williams,WR,81,Chargers,162.44
Tom Brady,QB,12,Buccaners,287.03
Adam Theilien,WR,19,Vikings,155.59
Michael Thomas,WR,13,Saints,165.67
Deandre Hopkins,WR,10,Cardinals,124.45